,Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income
0,Male,No,0,Graduate,No,128.0,360.0,1.0,Urban,Y,5849.0
1,Male,Yes,1,Graduate,No,128.0,360.0,1.0,Rural,N,6091.0
2,Male,Yes,0,Graduate,Yes,66.0,360.0,1.0,Urban,Y,3000.0
3,Male,Yes,0,Not Graduate,No,120.0,360.0,1.0,Urban,Y,4941.0
4,Male,No,0,Graduate,No,141.0,360.0,1.0,Urban,Y,6000.0
5,Male,Yes,2,Graduate,Yes,267.0,360.0,1.0,Urban,Y,9613.0
6,Male,Yes,0,Not Graduate,No,95.0,360.0,1.0,Urban,Y,3849.0
7,Male,Yes,3+,Graduate,No,158.0,360.0,0.0,Semiurban,N,5540.0
8,Male,Yes,2,Graduate,No,168.0,360.0,1.0,Urban,Y,5532.0
9,Male,Yes,1,Graduate,No,349.0,360.0,1.0,Semiurban,N,23809.0
10,Male,Yes,2,Graduate,No,70.0,360.0,1.0,Urban,Y,3900.0
11,Male,Yes,2,Graduate,No,109.0,360.0,1.0,Urban,Y,4340.0
12,Male,Yes,2,Graduate,No,200.0,360.0,1.0,Urban,Y,11179.0
13,Male,No,0,Graduate,No,114.0,360.0,1.0,Rural,N,4693.0
14,Male,Yes,2,Graduate,No,17.0,120.0,1.0,Urban,Y,2385.0
15,Male,No,0,Graduate,No,125.0,360.0,1.0,Urban,Y,4950.0
16,Male,No,1,Not Graduate,No,100.0,240.0,0.8421985815602837,Urban,Y,3596.0
17,Female,No,0,Graduate,No,76.0,360.0,0.0,Urban,N,3510.0
18,Male,Yes,0,Not Graduate,No,133.0,360.0,1.0,Rural,N,4887.0
19,Male,Yes,0,Graduate,No,115.0,360.0,1.0,Urban,Y,6100.0
20,Male,Yes,0,Not Graduate,No,104.0,360.0,0.0,Urban,N,7660.0
21,Male,Yes,1,Graduate,No,315.0,360.0,1.0,Urban,Y,11580.0
22,Male,Yes,0,Not Graduate,No,116.0,360.0,0.0,Semiurban,N,4511.0
23,Male,Yes,2,Not Graduate,No,112.0,360.0,0.0,Rural,N,5282.0
24,Male,Yes,1,Graduate,No,151.0,360.0,0.8421985815602837,Semiurban,N,6642.0
25,Male,Yes,0,Graduate,Yes,191.0,360.0,1.0,Semiurban,Y,9560.0
26,Male,Yes,0,Graduate,No,122.0,360.0,1.0,Semiurban,Y,5052.0
27,Male,Yes,2,Not Graduate,No,110.0,360.0,1.0,Urban,Y,5266.0
28,Male,No,0,Not Graduate,No,35.0,360.0,1.0,Urban,N,1442.0
29,Female,No,2,Graduate,No,120.0,360.0,1.0,Semiurban,Y,5833.0
30,Male,Yes,1,Graduate,No,201.0,360.0,0.8421985815602837,Urban,N,7535.0
31,Male,No,0,Graduate,No,74.0,360.0,1.0,Urban,N,3167.0
32,Male,No,1,Graduate,Yes,106.0,360.0,1.0,Rural,N,4692.0
33,Male,Yes,0,Graduate,No,114.0,360.0,1.0,Semiurban,Y,5167.0
34,Male,No,3+,Graduate,No,320.0,360.0,1.0,Rural,N,15500.0
35,Male,Yes,0,Graduate,No,128.0,360.0,1.0,Urban,Y,4342.0
36,Male,Yes,0,Graduate,No,100.0,360.0,0.0,Urban,N,3158.0
37,Female,Yes,0,Graduate,No,144.0,360.0,1.0,Semiurban,Y,5126.0
38,Male,No,0,Graduate,No,184.0,360.0,1.0,Urban,Y,11376.0
39,Male,No,0,Not Graduate,No,110.0,360.0,1.0,Semiurban,Y,5416.0
40,Male,No,0,Graduate,No,80.0,360.0,1.0,Urban,N,3600.0
41,Male,No,0,Graduate,No,47.0,360.0,1.0,Urban,Y,3013.0
42,Male,Yes,0,Graduate,No,75.0,360.0,0.8421985815602837,Urban,Y,2400.0
43,Male,Yes,0,Graduate,No,134.0,360.0,1.0,Semiurban,Y,6277.0
44,Male,Yes,0,Not Graduate,Yes,96.0,360.0,1.0,Urban,Y,4695.0
45,Female,No,0,Graduate,No,88.0,360.0,1.0,Urban,Y,3410.0
46,Male,Yes,1,Graduate,No,44.0,360.0,1.0,Urban,Y,5649.0
47,Male,Yes,0,Graduate,No,144.0,360.0,1.0,Urban,Y,5821.0
48,Female,Yes,0,Graduate,No,120.0,360.0,0.0,Urban,N,6085.0
49,Female,No,0,Graduate,No,144.0,360.0,1.0,Semiurban,Y,6275.0
50,Female,Yes,0,Not Graduate,No,100.0,360.0,1.0,Semiurban,Y,3572.0
51,Female,No,0,Graduate,No,120.0,360.0,1.0,Semiurban,Y,3086.0
52,Female,No,0,Graduate,No,112.0,360.0,1.0,Semiurban,N,4230.0
53,Male,Yes,2,Graduate,No,134.0,360.0,1.0,Urban,N,4616.0
54,Female,Yes,1,Graduate,Yes,286.0,360.0,0.0,Urban,N,11500.0
55,Male,Yes,2,Graduate,No,97.0,360.0,1.0,Semiurban,Y,3875.0
56,Male,Yes,0,Graduate,No,96.0,360.0,1.0,Semiurban,Y,3723.0
57,Male,Yes,0,Graduate,No,135.0,360.0,1.0,Rural,N,5566.0
58,Male,Yes,1,Graduate,No,180.0,360.0,1.0,Urban,Y,10330.0
59,Male,Yes,2,Not Graduate,No,144.0,360.0,1.0,Urban,Y,6216.0
60,Male,Yes,0,Graduate,No,120.0,360.0,1.0,Urban,Y,6296.0
61,Male,Yes,3+,Graduate,No,99.0,360.0,1.0,Urban,Y,3029.0
62,Male,Yes,0,Not Graduate,Yes,165.0,180.0,0.0,Rural,N,6058.0
63,Male,Yes,1,Graduate,No,128.0,360.0,0.0,Rural,N,4945.0
64,Female,No,0,Graduate,No,116.0,360.0,0.0,Semiurban,N,4166.0
65,Male,Yes,0,Graduate,No,258.0,360.0,1.0,Semiurban,N,10321.0
66,Male,No,0,Not Graduate,No,126.0,180.0,0.0,Urban,N,5454.0
67,Male,Yes,1,Graduate,No,312.0,360.0,1.0,Urban,Y,10750.0
68,Male,Yes,3+,Not Graduate,Yes,125.0,60.0,1.0,Urban,Y,7100.0
69,Female,No,0,Graduate,No,136.0,360.0,0.0,Semiurban,N,4300.0
70,Male,Yes,0,Graduate,No,172.0,360.0,1.0,Urban,Y,6274.0
71,Male,Yes,2,Not Graduate,Yes,97.0,360.0,1.0,Semiurban,Y,3750.0
72,Male,No,0,Graduate,No,81.0,300.0,1.0,Semiurban,Y,3500.0
73,Male,Yes,3+,Not Graduate,No,95.0,360.0,0.0,Semiurban,N,4755.0
74,Male,Yes,3+,Graduate,Yes,187.0,360.0,1.0,Semiurban,Y,7040.0
75,Male,No,0,Graduate,No,113.0,480.0,1.0,Urban,N,3750.0
76,Male,No,0,Graduate,No,176.0,360.0,1.0,Urban,N,8500.0
77,Male,Yes,1,Graduate,Yes,110.0,360.0,1.0,Urban,N,4022.0
78,Male,Yes,3+,Graduate,No,180.0,300.0,0.0,Semiurban,N,7167.0
79,Male,Yes,3+,Not Graduate,Yes,130.0,360.0,0.8421985815602837,Semiurban,Y,5499.0
80,Female,No,0,Graduate,No,111.0,360.0,1.0,Semiurban,Y,3846.0
81,Male,Yes,1,Graduate,Yes,128.0,360.0,1.0,Semiurban,Y,2395.0
82,Female,Yes,2,Graduate,No,167.0,360.0,1.0,Urban,N,3259.0
